timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
4 1 2 0.3561885591202292 0.04381144087977085
4 1 7 0.34808275775733266 0.05191724224266736
5 1 2 0.24873213396525823 0.1512678660347418
5 1 7 0.2668314698860739 0.1331685301139261
5 1 8 0.36223824042912994 0.03776175957087008
5 2 7 0.148198519525642 0.251801480474358
5 3 4 0.31837283491645935 0.08162716508354068
6 1 7 0.3513409513339101 0.048659048666089944
6 1 8 0.25803734206921286 0.14196265793078716
6 2 7 0.24645680434758063 0.1535431956524194
6 3 4 0.3215821107712043 0.07841788922879572
7 1 8 0.3092075411995879 0.09079245880041215
7 3 4 0.3006248275921535 0.09937517240784655
7 4 8 0.18198774547882593 0.2180122545211741
8 3 4 0.1556102624731678 0.2443897375268322
8 3 8 0.3038372149522304 0.0961627850477696
8 4 8 0.29803957656294894 0.10196042343705108
9 3 4 0.2679943711651432 0.13200562883485684
10 4 5 0.18313193072540598 0.21686806927459404
11 4 5 0.09792566639090222 0.3020743336090978
12 4 5 0.26736283814592665 0.13263716185407337
12 5 9 0.3862699777735767 0.013730022226423333
13 1 6 0.39365231507500853 0.006347684924991492
13 5 9 0.22460217630942422 0.1753978236905758
14 1 8 0.3999352487099228 6.475129007721403E-5
14 3 8 0.3857915559563752 0.014208444043624813
14 5 9 0.3626078727497887 0.03739212725021135
15 3 8 0.2512076829546549 0.14879231704534512
16 3 8 0.23814389772481204 0.16185610227518799
17 3 8 0.27437155630451227 0.12562844369548776
18 3 8 0.2690333767761169 0.13096662322388314
