timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
5 2 3 0.37871367144249585 0.021286328557504175
5 3 5 0.28519425888510297 0.11480574111489705
6 2 3 0.36481737675338477 0.03518262324661525
6 3 5 0.15881263868242115 0.24118736131757887
7 2 3 0.39849129688609275 0.0015087031139072726
7 3 5 0.20444900351225467 0.19555099648774535
8 3 5 0.33417031368512284 0.06582968631487718
9 2 5 0.3152337880080091 0.08476621199199091
10 2 5 0.34653253614141033 0.05346746385858969
10 3 6 0.33648092858080314 0.06351907141919688
11 3 6 0.3155579811248714 0.08444201887512864
13 1 5 0.3774812357760066 0.022518764223993404
15 2 6 0.2555716762119689 0.1444283237880311
16 2 6 0.236268910818476 0.16373108918152401
